property_id,counts
P943,631
P9813,637
P8225,642
P8706,642
P7469,644
P5201,646
P634,649
P4788,651
P9929,657
P5125,658
P9745,659
P2989,663
P8546,663
P3262,669
P786,672
P3113,675
P11108,683
P534,687
P9344,688
P4543,691
P5004,691
P8030,700
P4345,704
P9086,709
P4810,726
P8045,731
P2633,732
P2737,732
P787,734
P3275,734
P2098,748
P1840,752
P2371,762
P924,763
P6439,779
P7078,780
P3261,781
P1035,805
P5804,805
P789,808
P1000,826
P6426,827
P612,831
P1479,831
P751,834
P4428,834
P4324,835
P9325,851
P10741,867
P4437,873
P834,884
P784,886
P8839,888
P5012,890
P5126,894
P9295,898
P5873,917
P5052,925
P4032,926
P6758,943
P785,950
P6166,950
P1881,961
P8402,962
P6855,969
P3355,987
P470,990
P3075,995
P822,997
P8889,1001
P3091,1003
P5588,1014
P468,1016
P8006,1019
P788,1026
P5249,1051
P2667,1052
P3156,1053
P1002,1069
P923,1078
P783,1086
P6291,1092
P6185,1109
P2825,1110
P10280,1147
P1312,1154
P9241,1161
P5460,1164
P1336,1179
P2925,1180
P7075,1190
P542,1202
P2827,1222
P4805,1225
P5880,1230
P3173,1256
P1654,1274
P4777,1288
P8111,1288
P3354,1291
P1740,1297
P4329,1299
P9139,1300
P522,1330
P4044,1332
P7573,1359
P3496,1363
P2545,1374
P8744,1387
P1455,1394
P5389,1396
P1576,1405
P6524,1438
P5869,1445
P8031,1450
P3822,1466
P2238,1479
P4952,1479
P5623,1481
P832,1484
P7984,1497
P694,1499
P967,1500
P3966,1505
P6658,1507
P5072,1514
P6338,1531
P10339,1545
P3489,1546
P567,1549
P505,1550
P3174,1554
P8500,1558
P568,1560
P8032,1567
P770,1576
P1290,1589
P9887,1598
P1414,1604
P5304,1629
P8450,1636
P3975,1713
P1879,1715
P8371,1718
P208,1730
P9597,1753
P9600,1792
P2813,1805
P5150,1805
P7137,1818
P450,1822
P5059,1827
P769,1828
P1531,1830
P2935,1832
P2291,1834
P2444,1835
P85,1838
P1165,1875
P4873,1879
P5096,1882
P533,1895
P1151,1895
P4322,1901
P2673,1906
P4913,1911
P3967,1918
P2674,1924
P1876,1925
P521,1930
P2033,1957
P5824,1964
P4312,1983
P631,1987
P853,2005
P6803,2029
P199,2030
P4794,2047
P2629,2060
P1398,2068
P8670,2107
P7501,2113
P1204,2114
P6978,2127
P263,2128
P3433,2128
P4151,2131
P3364,2161
P5277,2180
P3834,2181
P35,2201
P1596,2211
P6568,2227
P531,2259
P3158,2265
P38,2275
P690,2276
P1074,2287
P2974,2288
P167,2302
P8127,2324
P1620,2325
P3650,2332
P3989,2340
P5280,2359
P2679,2367
P2564,2381
P1075,2394
P3712,2416
P1999,2429
P1625,2440
P1557,2465
P6819,2466
P122,2474
P4132,2498
P2578,2521
P3780,2548
P1419,2572
P2881,2576
P4688,2590
P2184,2619
P1672,2624
P8956,2629
P7936,2655
P1885,2670
P880,2671
P3828,2684
P2438,2749
P3781,2749
P739,2768
P10611,2773
P807,2786
P5053,2815
P1049,2827
P2239,2828
P1582,2834
P2743,2839
P2377,2843
P1462,2886
P406,2948
P1200,2961
P1283,2981
P10588,2993
P9831,3010
P6193,3016
P3402,3023
P9681,3057
P4000,3116
P553,3131
P8329,3188
P7377,3225
P6962,3233
P113,3235
P9071,3277
P6086,3287
P3438,3288
P7419,3307
P1029,3374
P1321,3374
P5769,3401
P3137,3481
P1750,3492
P6084,3506
P4792,3520
P8324,3533
P1574,3582
P4661,3596
P4195,3606
P415,3656
P193,3660
P3085,3660
P2012,3688
P3279,3711
P3858,3748
P7086,3749
P7095,3751
P5202,3753
P6364,3768
P111,3782
P914,3804
P6195,3842
P157,3857
P3300,3889
P9215,3900
P5826,3906
P3150,3916
P2875,3972
P1560,3976
P942,4119
P3912,4120
P7888,4130
P5056,4212
P8196,4246
P3022,4247
P927,4269
P689,4270
P6271,4307
P469,4319
P2668,4351
P1809,4385
P6942,4387
P8596,4398
P9970,4415
P6365,4442
P837,4444
P1657,4468
P399,4530
P552,4560
P8646,4567
P7779,4670
P8791,4690
P1811,4692
P3216,4716
P2652,4795
P3306,4803
P3025,4823
P9899,4915
P2695,4921
P2365,4934
P2429,5002
P5514,5061
P5028,5078
P3259,5149
P831,5154
P765,5163
P7481,5170
P2922,5209
P3610,5229
P5026,5232
P3729,5311
P2363,5336
P1791,5349
P1445,5371
P5713,5395
P3092,5402
P9047,5462
P4745,5478
P908,5496
P3730,5615
P556,5617
P833,5673
P3764,5678
P3403,5680
P9073,5721
P4791,5726
P7047,5734
P748,5766
P826,5766
P1145,5786
P610,5819
P1387,5901
P3448,5909
P504,5948
P2882,5972
P8745,6014
P3095,6019
P8746,6024
P930,6133
P1073,6193
P1639,6204
P8413,6346
P5425,6349
P823,6428
P3320,6501
P1951,6551
P2747,6602
P398,6661
P91,6662
P483,6693
P579,6728
P3803,6756
P6569,6758
P425,6864
P169,6907
P2500,6967
P8933,7003
P2499,7025
P941,7041
P618,7046
P2175,7064
P2176,7067
P163,7093
P2846,7100
P2614,7150
P530,7162
P2756,7169
P1542,7258
P736,7324
P2358,7344
P5025,7380
P816,7387
P3823,7402
P4202,7414
P4002,7422
P375,7511
P2359,7694
P2517,7712
P1595,7727
P87,7745
P2975,7823
P2579,7879
P9235,7904
P2563,7946
P520,8148
P872,8274
P8289,8382
P8989,8408
P741,8528
P1347,8612
P1302,8735
P2408,8744
P1046,8921
P5841,8937
P3179,8948
P3919,9028
P1591,9030
P841,9169
P2978,9178
P6872,9270
P376,9354
P1990,9379
P2684,9603
P4608,9703
P1389,9741
P1875,9798
P3301,9848
P1431,9963
P2848,10242
P11146,10318
P1995,10403
P598,10515
P92,10670
P852,10909
P1028,11029
P5970,11128
P780,11149
P3096,11157
P6191,11182
P1629,11260
P2596,11574
P795,11662
P5353,11673
P2360,11756
P9888,11796
P1072,11865
P411,11879
P4584,12050
P5537,12083
P1399,12085
P4330,12173
P7486,12248
P4743,12508
P4323,12537
P931,12573
P797,12609
P1340,12690
P516,12963
P201,13007
P9660,13015
P3643,13097
P5606,13223
P10527,13340
P129,13424
P358,13557
P423,13629
P4320,13808
P1594,13844
P3497,13964
P2515,14027
P10241,14239
P647,14240
P6977,14264
P6087,14537
P2293,14643
P414,14863
P2597,14964
P3931,15026
P2959,15054
P6885,15140
P1884,15250
P2554,15383
P870,15502
P3876,15627
P5278,15630
P3648,15732
P237,15755
P885,15777
P7867,15920
P8872,15956
P408,16403
P8411,16429
P2388,16483
P287,16617
P803,16671
P451,16780
P9488,16797
P1408,16816
P2643,17113
P2389,17457
P2650,17462
P3501,17635
P289,17681
P7084,17789
P3716,17816
P205,17926
P479,18073
P1465,18084
P6339,18185
P1981,18340
P2550,18420
P1716,18678
P1299,18688
P121,18996
P6112,19155
P200,19203
P5030,19320
P277,19483
P4628,19658
P1434,19861
P1037,20140
P1536,20150
P1308,20248
P1533,20574
P5186,20720
P2505,20998
P7561,21107
P1327,21563
P1456,21681
P3842,22285
P737,22406
P2758,23809
P4969,24125
P1363,24708
P37,24805
P417,25483
P4884,25946
P1142,26365
P88,26800
P1064,27097
P1403,27380
P532,27785
P2541,27975
P991,28906
P1382,28930
P3032,29370
P461,29535
P4647,29594
P3342,29962
P7153,30447
P427,30540
P3148,30553
P1652,30920
P3494,30968
P3578,31139
P1444,31398
P1855,31843
P1547,31955
P1026,32179
P1853,32257
P189,32477
P9302,32641
P2962,32837
P1792,33017
P7782,33646
P2522,33714
P183,34056
P110,34419
P177,34885
P2568,34895
P2507,35775
P412,35836
P608,35891
P8345,35923
P609,36358
P2061,36713
P611,36855
P7603,36887
P2354,37233
P547,37613
P1427,37966
P488,38179
P1424,38628
P1383,39043
P1423,39055
P2851,39410
P2283,39595
P658,39676
P2567,40308
P1464,40785
P466,41023
P6,41686
P1080,42434
P5816,42792
P8138,44540
P767,44927
